FID,community,shape_area,area_num,community,type,development,X_Coordina,Y_Coordina,Latitude,Longitude,t_units,t_aunits,index,pcrowded,ppoverty,punemploy,peducation,page,income
35,AVALON PARK,34852737.74,45,Avalon Park,Senior,102,1185587.742,1853564.459,41.75332086,-87.5954564,1324,564,43,1.4,17.2,21.1,10.6,39.3,24454
36,SOUTH CHICAGO,93272185.01,46,South Chicago,Senior,60,1199523.085,1844538.456,41.72821355,-87.54469279,6383,4021,63,4.7,29.8,19.7,26.6,41.1,16579
37,ROSELAND,134313706.7,49,Roseland,Inter-generational,10,1178767.713,1835996.433,41.70526978,-87.62098184,6476,2887,45,2.5,19.8,20.3,16.9,41.2,17949
38,NORTH CENTER,57054167.85,5,North Center,ARO,4,0,0,0,0,6764,585,9,0.3,7.5,5.2,4.5,26.2,57123
39,PULLMAN,59001555.6,50,Pullman,Multifamily,210,1184202.937,1836150.183,41.70556659,-87.60107403,1717,1081,63,1.5,21.6,22.8,13.1,38.6,20588
40,SOUTH DEERING,303797059.7,51,South Deering,Senior,86,1193007.252,1839809.525,41.71539824,-87.56871495,2066,1240,60,4,29.2,16.3,21,39.5,14685
41,WEST PULLMAN,99365198.08,53,West Pullman,Supportive Housing,90,1173523.536,1824810.063,41.67469008,-87.64051484,3772,1871,50,3.3,25.9,19.4,20.5,42.1,16563
42,RIVERDALE,98389497.41,54,Riverdale,Senior,75,1180294.274,1818758.372,41.65793125,-87.6159174,2189,1761,80,5.8,56.5,34.6,27.5,51.5,8201
43,HEGEWISCH,145965741.4,55,Hegewisch,Senior,116,1201038.059,1815487.733,41.64845741,-87.54012317,964,640,66,3.3,17.1,9.6,19.2,42.9,22677
44,GARFIELD RIDGE,117890778.4,56,Garfield Ridge,Senior,87,1129403.745,1864822.912,41.78535412,-87.801098,2308,1054,46,2.6,8.8,11.3,19.3,38.1,26353
45,BRIGHTON PARK,75892790.31,58,Brighton Park,Multifamily,30,1155315.538,1873325.098,41.80820589,-87.70586474,6220,4764,77,14.4,23.6,13.9,45.1,39.3,13089
46,BRIDGEPORT,58291519.28,60,Bridgeport,Senior,85,1171468.409,1886029.528,41.84272915,-87.64624727,6872,3387,49,4.5,18.9,13.7,22.2,31.3,22694
47,NEW CITY,134636963.3,61,New City,Multifamily,10,1165081.4,1874156.261,41.81028546,-87.67002227,7635,5591,73,11.9,29,23,41.5,38.9,12765
48,WEST ELSDON,32711091.43,62,West Elsdon,Multifamily,78,1152916.272,1870602.659,41.80078286,-87.71473662,1471,597,41,11.1,15.6,16.7,37,37.7,15754
49,GAGE PARK,61284896.11,63,Gage Park,Senior,59,1155572.425,1865354.407,41.78632804,-87.70513618,4336,2908,67,15.8,23.4,18.2,51.5,38.8,12171
50,WEST LAWN,82315301.68,65,West Lawn,Seniors,89,1145974.074,1859144.924,41.76947523,-87.74048606,2613,1190,46,5.8,14.9,9.6,33.6,39.6,16907
51,CHICAGO LAWN,98279465.12,66,Chicago Lawn,Senior,102,1155938.092,1862375.031,41.77814486,-87.70387541,8996,5445,61,7.6,27.9,17.1,31.2,40.6,13231
52,WEST ENGLEWOOD,87947691.95,67,West Englewood,Multifamily,12,0,0,0,0,5161,2943,57,4.8,34.4,35.9,26.3,40.7,11317
53,ENGLEWOOD,85652323.08,68,Englewood,Multifamily,69,1175444.813,1860492.084,41.77256377,-87.63241932,6862,4334,63,3.8,46.6,28,28.5,42.5,11888
54,GREATER GRAND CROSSING,98853167.71,69,Greater Grand Crossing,Artist Housing,32,1187273.42,1858913.338,41.76795883,-87.58910953,8040,4462,55,3.6,29.6,23,16.5,41,17285
55,ASHBURN,135460337.2,70,Ashburn,Senior,85,1158906.934,1852040.954,41.74972646,-87.69327334,2036,892,44,4,10.4,11.7,17.7,36.9,23482
56,AUBURN GRESHAM,105065353.6,71,Auburn Gresham,Senior HUD 202,80,1169422.93,1852437.468,41.75059341,-87.65472675,9722,5798,60,4,27.6,28.3,18.5,41.9,15528
57,EDGEWATER,48449990.84,77,Edgewater,Senior,198,1168181.124,1937918.4,41.98518678,-87.65680868,18376,4679,25,4.1,18.2,9.2,9.7,23.8,33385
58,MONTCLARE,27576393.63,18,Montclare,ARO,5,1127615.033,1918797.886,41.93350027,-87.80644193,1702,686,40,0,0,0,0,0,0
59,HUMBOLDT PARK,100480876.5,23,Humboldt Park,Multifamily,6,1155237.959,1903558.991,41.89117274,-87.70533834,10854,5099,47,0,0,0,0,0,0
60,LAKE VIEW,87214799.27,6,Lakeview,ARO,2,1170305.662,1926158.031,41.95286969,-87.64934018,32776,3013,9,0,0,0,0,0,0
61,WASHINGTON HEIGHTS,79635752.88,73,Washington Heights,Supportive Housing,4,0,0,0,0,3073,1421,46,0,0,0,0,0,0
